home_goals,away_goals,home_shots,away_shots,home_xg,away_xg,home_possession,run,home_pressing,away_pressing,fatigue_model
0,0,2,3,0.077264,0.11609599999999999,0.45555555555555555,0,high,low,linear
0,0,3,2,0.110496,0.07910400000000001,0.6222222222222222,1,high,low,linear
0,0,6,0,0.22322399999999998,0.0,0.7666666666666667,2,high,low,linear
0,1,2,4,0.07676,0.156192,0.4222222222222222,3,high,low,linear
0,0,1,5,0.037984000000000004,0.197664,0.24444444444444444,4,high,low,linear
0,0,6,3,0.22905599999999998,0.117504,0.45555555555555555,5,high,low,linear
1,0,2,4,0.071936,0.157056,0.32222222222222224,6,high,low,linear
0,0,4,0,0.154456,0.0,0.6222222222222222,7,high,low,linear
0,0,5,1,0.191288,0.038912,0.6111111111111112,8,high,low,linear
0,0,7,1,0.26459200000000005,0.038784,0.6777777777777778,9,high,low,linear
0,2,2,3,0.07496,0.11907200000000001,0.6222222222222222,10,high,low,linear
1,0,8,2,0.300344,0.078176,0.6222222222222222,11,high,low,linear
1,2,4,2,0.14826399999999998,0.078464,0.7777777777777778,12,high,low,linear
0,0,4,5,0.14437599999999998,0.19622399999999998,0.6333333333333333,13,high,low,linear
0,1,4,3,0.145672,0.11775999999999999,0.5444444444444444,14,high,low,linear
0,0,2,2,0.07503199999999999,0.079008,0.4222222222222222,15,high,low,linear
0,0,1,6,0.035103999999999996,0.23571199999999998,0.45555555555555555,16,high,low,linear
0,0,1,4,0.03856,0.156896,0.2111111111111111,17,high,low,linear
0,0,0,2,0.0,0.07872,0.5333333333333333,18,high,low,linear
0,0,3,4,0.11244,0.15705599999999997,0.4666666666666667,19,high,low,linear
0,0,2,6,0.070352,0.235104,0.36666666666666664,20,high,low,linear
0,0,3,3,0.11207999999999999,0.11792,0.4888888888888889,21,high,low,linear
0,1,5,2,0.18898399999999999,0.079488,0.7111111111111111,22,high,low,linear
0,0,1,3,0.036688,0.117184,0.5666666666666667,23,high,low,linear
0,0,1,4,0.037335999999999994,0.156384,0.37777777777777777,24,high,low,linear
0,0,2,7,0.07676,0.275296,0.36666666666666664,25,high,low,linear
0,0,7,2,0.263872,0.07913600000000001,0.8222222222222222,26,high,low,linear
0,0,3,2,0.10991999999999999,0.079584,0.5777777777777777,27,high,low,linear
0,0,1,1,0.039496,0.03888,0.4777777777777778,28,high,low,linear
0,0,2,3,0.075248,0.1168,0.5222222222222223,29,high,low,linear
0,0,2,5,0.071432,0.197088,0.4222222222222222,30,high,low,linear
0,0,3,2,0.114816,0.07750399999999999,0.5555555555555556,31,high,low,linear
1,0,4,4,0.14559999999999998,0.15567999999999999,0.4777777777777778,32,high,low,linear
1,0,6,4,0.223152,0.15552,0.5444444444444444,33,high,low,linear
0,0,1,2,0.035752,0.07744,0.3333333333333333,34,high,low,linear
0,0,3,5,0.113232,0.19696,0.43333333333333335,35,high,low,linear
1,0,2,5,0.074168,0.197824,0.4888888888888889,36,high,low,linear
1,0,4,0,0.1474,0.0,0.7222222222222222,37,high,low,linear
0,0,1,7,0.035247999999999995,0.276416,0.4777777777777778,38,high,low,linear
0,0,5,2,0.195536,0.077792,0.5444444444444444,39,high,low,linear
0,0,1,3,0.039352,0.11872000000000002,0.4666666666666667,40,high,low,linear
0,0,0,5,0.0,0.197248,0.36666666666666664,41,high,low,linear
0,0,3,4,0.11294399999999999,0.15878399999999998,0.5333333333333333,42,high,low,linear
0,0,6,2,0.231792,0.078592,0.5777777777777777,43,high,low,linear
0,0,5,4,0.184736,0.156448,0.5444444444444444,44,high,low,linear
1,0,7,6,0.26776,0.236704,0.5888888888888889,45,high,low,linear
0,0,5,3,0.190784,0.11827200000000002,0.6777777777777778,46,high,low,linear
0,0,0,7,0.0,0.2744,0.37777777777777777,47,high,low,linear
0,0,4,2,0.143296,0.078528,0.4,48,high,low,linear
0,0,4,2,0.152512,0.079008,0.5333333333333333,49,high,low,linear
0,0,2,2,0.072224,0.079168,0.4666666666666667,50,high,low,linear
0,0,1,2,0.039208,0.07791999999999999,0.5444444444444444,51,high,low,linear
1,0,3,3,0.114456,0.11635200000000001,0.6111111111111112,52,high,low,linear
0,0,1,3,0.039712000000000004,0.11769600000000001,0.3888888888888889,53,high,low,linear
0,0,1,1,0.036112,0.038848,0.34444444444444444,54,high,low,linear
0,0,2,8,0.07676,0.31353600000000004,0.43333333333333335,55,high,low,linear
0,0,5,5,0.189416,0.195904,0.7111111111111111,56,high,low,linear
0,2,0,6,0.0,0.23689600000000002,0.5333333333333333,57,high,low,linear
0,0,4,3,0.15028,0.11910399999999999,0.5777777777777777,58,high,low,linear
1,0,4,1,0.14711199999999997,0.03888,0.5,59,high,low,linear
0,0,2,1,0.073736,0.039008,0.5,60,high,low,linear
0,0,3,5,0.11387999999999998,0.196576,0.32222222222222224,61,high,low,linear
0,0,1,3,0.039496,0.117472,0.5555555555555556,62,high,low,linear
1,0,2,9,0.076184,0.351712,0.3,63,high,low,linear
1,0,3,2,0.11135999999999999,0.078304,0.5,64,high,low,linear
0,0,3,2,0.11388000000000001,0.078432,0.45555555555555555,65,high,low,linear
0,0,0,2,0.0,0.079136,0.6666666666666666,66,high,low,linear
0,0,3,3,0.112584,0.11792,0.5222222222222223,67,high,low,linear
0,0,3,2,0.107544,0.078464,0.5111111111111111,68,high,low,linear
0,0,4,3,0.147832,0.116704,0.6333333333333333,69,high,low,linear
0,0,3,2,0.11380799999999999,0.079776,0.5888888888888889,70,high,low,linear
0,0,5,4,0.186392,0.15715200000000001,0.5111111111111111,71,high,low,linear
0,0,4,6,0.153952,0.2376,0.5333333333333333,72,high,low,linear
0,0,3,3,0.115896,0.117152,0.5111111111111111,73,high,low,linear
1,0,5,3,0.19121600000000002,0.11776,0.5888888888888889,74,high,low,linear
1,0,6,2,0.225096,0.079872,0.6,75,high,low,linear
0,0,4,2,0.147616,0.07939199999999999,0.4888888888888889,76,high,low,linear
0,0,4,2,0.150136,0.079008,0.6444444444444445,77,high,low,linear
1,0,4,1,0.149056,0.039296,0.7222222222222222,78,high,low,linear
1,0,4,1,0.153592,0.039104,0.6333333333333333,79,high,low,linear
0,0,3,2,0.1128,0.078816,0.6444444444444445,80,high,low,linear
0,0,1,6,0.038127999999999995,0.236224,0.4111111111111111,81,high,low,linear
0,0,3,2,0.108984,0.07827200000000001,0.5777777777777777,82,high,low,linear
0,0,3,2,0.11179199999999999,0.07808000000000001,0.5222222222222223,83,high,low,linear
0,1,3,4,0.115968,0.156928,0.43333333333333335,84,high,low,linear
0,0,3,1,0.116112,0.039616,0.7444444444444445,85,high,low,linear
0,0,2,0,0.0764,0.0,0.6666666666666666,86,high,low,linear
0,0,1,3,0.036256,0.11737600000000001,0.7333333333333333,87,high,low,linear
0,0,2,5,0.07553599999999999,0.19625599999999999,0.6666666666666666,88,high,low,linear
0,0,2,3,0.074312,0.118112,0.28888888888888886,89,high,low,linear
0,0,4,3,0.15128799999999998,0.11782400000000001,0.6111111111111112,90,high,low,linear
0,0,3,1,0.10891199999999998,0.039008,0.5333333333333333,91,high,low,linear
0,1,3,2,0.105816,0.079584,0.35555555555555557,92,high,low,linear
0,0,2,2,0.074384,0.079008,0.5444444444444444,93,high,low,linear
0,0,3,3,0.118272,0.118944,0.6111111111111112,94,high,low,linear
0,0,4,6,0.15136,0.23436800000000002,0.4444444444444444,95,high,low,linear
0,1,2,3,0.07596800000000001,0.11830400000000002,0.6,96,high,low,linear
0,0,3,4,0.11676,0.157024,0.37777777777777777,97,high,low,linear
0,0,3,3,0.111576,0.117536,0.5888888888888889,98,high,low,linear
0,0,3,3,0.11474400000000001,0.116512,0.4666666666666667,99,high,low,linear
1,0,7,5,0.258472,0.196672,0.5666666666666667,100,high,low,linear
0,0,4,4,0.154312,0.155968,0.5333333333333333,101,high,low,linear
0,0,7,0,0.264808,0.0,0.8555555555555555,102,high,low,linear
0,0,3,4,0.11078399999999998,0.155904,0.4888888888888889,103,high,low,linear
0,0,0,11,0.0,0.43087999999999993,0.28888888888888886,104,high,low,linear
0,1,3,3,0.109344,0.11699199999999998,0.5111111111111111,105,high,low,linear
0,0,1,4,0.037984000000000004,0.15616,0.25555555555555554,106,high,low,linear
0,0,2,3,0.073016,0.118592,0.5777777777777777,107,high,low,linear
0,0,6,4,0.22401599999999997,0.155968,0.5444444444444444,108,high,low,linear
0,0,7,1,0.25940799999999997,0.039648,0.5111111111111111,109,high,low,linear
0,0,4,4,0.142,0.157728,0.5,110,high,low,linear
0,0,3,4,0.11474399999999998,0.155744,0.4666666666666667,111,high,low,linear
0,0,2,5,0.07287199999999999,0.19750399999999999,0.37777777777777777,112,high,low,linear
0,0,3,3,0.10883999999999999,0.11708799999999998,0.5222222222222223,113,high,low,linear
0,0,3,3,0.112512,0.11705600000000001,0.4666666666666667,114,high,low,linear
1,0,7,2,0.265024,0.07814399999999999,0.7111111111111111,115,high,low,linear
0,0,2,5,0.076976,0.196224,0.4111111111111111,116,high,low,linear
0,0,6,5,0.22344,0.19516799999999998,0.4444444444444444,117,high,low,linear
0,0,1,3,0.039855999999999996,0.11699200000000001,0.4111111111111111,118,high,low,linear
0,0,4,6,0.147904,0.23465600000000003,0.4666666666666667,119,high,low,linear
0,0,0,3,0.0,0.115936,0.6444444444444445,120,high,low,linear
0,0,1,4,0.03964,0.157248,0.4,121,high,low,linear
0,0,4,1,0.148984,0.038592,0.7777777777777778,122,high,low,linear
0,0,4,3,0.14862399999999998,0.11804800000000001,0.5,123,high,low,linear
0,0,1,1,0.037696,0.039904,0.6222222222222222,124,high,low,linear
0,0,2,3,0.076256,0.116416,0.4666666666666667,125,high,low,linear
0,0,0,4,0.0,0.157792,0.37777777777777777,126,high,low,linear
0,0,5,1,0.19207999999999997,0.038912,0.4777777777777778,127,high,low,linear
0,0,3,9,0.117192,0.351872,0.43333333333333335,128,high,low,linear
0,0,1,3,0.035679999999999996,0.117568,0.35555555555555557,129,high,low,linear
0,0,2,4,0.07207999999999999,0.156928,0.34444444444444444,130,high,low,linear
0,0,2,6,0.07359199999999999,0.235712,0.37777777777777777,131,high,low,linear
0,0,1,4,0.03892,0.15852799999999997,0.5,132,high,low,linear
0,0,5,2,0.186248,0.078656,0.5777777777777777,133,high,low,linear
0,0,3,3,0.11229599999999999,0.11750400000000001,0.5777777777777777,134,high,low,linear
0,1,2,5,0.07712,0.19475199999999998,0.5222222222222223,135,high,low,linear
1,0,6,2,0.224304,0.078816,0.6,136,high,low,linear
0,0,2,2,0.07128799999999999,0.07878399999999999,0.3111111111111111,137,high,low,linear
0,0,1,4,0.038776000000000005,0.156,0.4,138,high,low,linear
0,0,3,3,0.11222399999999999,0.11763199999999999,0.45555555555555555,139,high,low,linear
0,0,0,2,0.0,0.079232,0.4444444444444444,140,high,low,linear
0,2,4,5,0.14812,0.196448,0.4777777777777778,141,high,low,linear
0,0,3,2,0.113736,0.078048,0.5555555555555556,142,high,low,linear
0,1,6,3,0.22920000000000001,0.11676799999999998,0.7333333333333333,143,high,low,linear
0,0,3,1,0.11424000000000001,0.039584,0.7555555555555555,144,high,low,linear
0,1,4,6,0.14524,0.237216,0.35555555555555557,145,high,low,linear
0,0,4,2,0.14804799999999999,0.079584,0.6111111111111112,146,high,low,linear
0,0,2,2,0.07013599999999999,0.077952,0.16666666666666666,147,high,low,linear
0,0,5,1,0.190784,0.038944,0.3333333333333333,148,high,low,linear
0,0,6,0,0.227184,0.0,0.6777777777777778,149,high,low,linear
0,0,3,5,0.11243999999999998,0.196096,0.32222222222222224,150,high,low,linear
0,0,2,0,0.073376,0.0,0.3888888888888889,151,high,low,linear
1,0,2,5,0.074744,0.19567999999999997,0.13333333333333333,152,high,low,linear
0,1,3,4,0.113088,0.156352,0.7333333333333333,153,high,low,linear
0,0,0,5,0.0,0.196736,0.43333333333333335,154,high,low,linear
0,1,2,4,0.075464,0.157984,0.37777777777777777,155,high,low,linear
0,0,7,4,0.25933599999999996,0.15647999999999998,0.5111111111111111,156,high,low,linear
0,0,5,2,0.185888,0.078592,0.8333333333333334,157,high,low,linear
